"towntype_Pullman","saledate","revenue","tot_items","avg_price_peritem","perc.cart_oil","perc.hash_kief","perc.wax_shatter_dab_resin","perc.uncategorized"
"bigcity",2015-05-15,62077.484359,1356,45.7798557219764,0.255162241887906,0.0353982300884956,0.171091445427729,0.166666666666667
"bigcity",2015-05-16,66563.247199,1431,46.5151972040531,0.302585604472397,0.0377358490566038,0.147449336128581,0.16701607267645
"bigcity",2015-05-17,51421.869304,1088,47.2627475220588,0.352022058823529,0.0284926470588235,0.155330882352941,0.153492647058824
"bigcity",2015-05-18,44713.257713,866,51.631937312933,0.252886836027714,0.0404157043879908,0.182448036951501,0.169745958429561
"bigcity",2015-05-19,65330.624299,944,69.2061698082627,0.330508474576271,0.0434322033898305,0.161016949152542,0.157838983050847
"bigcity",2015-05-20,61385.141885,999,61.4465884734735,0.39039039039039,0.048048048048048,0.146146146146146,0.144144144144144
"bigcity",2015-05-21,56553.716312,1207,46.8547773918807,0.402651201325601,0.0389395194697597,0.139188069594035,0.153272576636288
"bigcity",2015-05-22,91508.269706,1541,59.382394358209,0.380272550292018,0.0622972096041532,0.121998702141467,0.170668397144711
"bigcity",2015-05-23,76655.699046,1695,45.2246012070796,0.345722713864307,0.0501474926253687,0.130383480825959,0.227138643067847
"bigcity",2015-05-24,113824.176643,1198,95.0118335918197,0.353923205342237,0.0826377295492488,0.142737896494157,0.200333889816361
"bigcity",2015-05-25,36484.634097,884,41.2722105169683,0.351809954751131,0.0622171945701357,0.139140271493213,0.22737556561086
"bigcity",2015-05-26,42699.08609,948,45.0412300527426,0.335443037974684,0.0759493670886076,0.151898734177215,0.20464135021097
"bigcity",2015-05-27,45173.116718,1042,43.3523193071017,0.356046065259117,0.0854126679462572,0.143953934740883,0.228406909788868
"bigcity",2015-05-28,48612.563839,1077,45.1370137780873,0.362116991643454,0.0714948932219127,0.12627669452182,0.226555246053853
"bigcity",2015-05-29,56982.465241,1328,42.9084828621988,0.357680722891566,0.0489457831325301,0.125753012048193,0.253012048192771
"bigcity",2015-05-30,65137.236017,1517,42.9381911779829,0.363876071193144,0.0718523401450231,0.143045484508899,0.231377719182597
"bigcity",2015-05-31,60386.569742,1240,48.698846566129,0.395967741935484,0.0532258064516129,0.125,0.22258064516129
"bigcity",2015-06-01,129002.838194,1257,102.627556240255,0.335719968178202,0.0731901352426412,0.143993635640414,0.222752585521082
"bigcity",2015-06-02,49433.336089,1148,43.0603972900697,0.36411149825784,0.0740418118466899,0.14198606271777,0.227351916376307
