"collegetown","saledate","revenue","tot_items","avg_price_peritem","perc.usable","perc.edible","perc.extracts"
TRUE,2015-06-25,325639.27,12122,26.8634936479129,0.825028873123247,0.0909915855469395,0.0808447450915691
TRUE,2015-06-26,447971.27,14814,30.239723909815,0.812137167544215,0.100783043067369,0.0841771297421358
TRUE,2015-06-27,409030.15,15309,26.7182800966752,0.811222156901169,0.108432947939121,0.0770788425109413
TRUE,2015-06-28,301390.15,11807,25.5263953586855,0.822901668501736,0.10036419073431,0.0736004065384941
TRUE,2015-06-29,265115.74,10155,26.1069167897587,0.824421467257509,0.096602658788774,0.0767109798129001
TRUE,2015-06-30,328528.49,11888,27.6353036675639,0.834539030955585,0.0771366083445491,0.085464333781965
TRUE,2015-07-01,435269.9199,13999,31.0929294878206,0.81627259089935,0.0936495463961712,0.0872205157511251
TRUE,2015-07-02,436783.6603,15730,27.7675562809917,0.810616656071201,0.10057215511761,0.0865861411315957
TRUE,2015-07-03,553600.7929,19805,27.9525772734158,0.788134309517799,0.120272658419591,0.0885634940671548
TRUE,2015-07-04,369771.66936,15332,24.1176408400731,0.79950430472215,0.112379337333681,0.0858987738064179
TRUE,2015-07-05,258830.0037,10363,24.9763585544726,0.812602528225417,0.0966901476406446,0.0872334266139149
TRUE,2015-07-06,304496.337,10965,27.7698437756498,0.831463748290014,0.0808025535795714,0.084359325125399
TRUE,2015-07-07,337820.6965,12631,26.7453643021138,0.84292613411448,0.0775077191037923,0.075845142902383
TRUE,2015-07-08,383087.8666,12782,29.9708861367548,0.83249882647473,0.0816773587857925,0.0826944140197152
TRUE,2015-07-09,338627.4073,12891,26.2685134822745,0.825925063998138,0.086339306492902,0.0837793809634629
TRUE,2015-07-10,448126.8219,16585,27.0200073500151,0.802230931564667,0.0925535122098282,0.102864033765451
TRUE,2015-07-11,466156.3507,18319,25.4466046563677,0.799552377313172,0.100169223210874,0.0979856979092745
TRUE,2015-07-12,330111.6654,13367,24.6960174609112,0.819555622054313,0.0927657664397397,0.0849106007331488
TRUE,2015-07-13,292852.29326,10951,26.742059470368,0.823669071317688,0.0847411195324628,0.0883937539950689
TRUE,2015-07-14,321110.6695,12545,25.5967054204863,0.823913909924273,0.0846552411319251,0.0884814667198087
TRUE,2015-07-15,349639.0563,12920,27.0618464628483,0.81687306501548,0.0843653250773994,0.0952012383900929
TRUE,2015-07-16,378654.2041,14386,26.3210207215348,0.819199221465314,0.0861253996941471,0.0910607535103573
TRUE,2015-07-17,474630.0747,17312,27.4162473833179,0.808283271719039,0.0972735674676525,0.0912084103512015
TRUE,2015-07-18,476112.127,17534,27.1536515911943,0.808486369339569,0.104996007756359,0.0841222767195164
TRUE,2015-07-19,416701.8167,14100,29.5533203333333,0.808652482269504,0.0999290780141844,0.0880851063829787
TRUE,2015-07-20,315270.5102,11931,26.4244832956165,0.819713351772693,0.0880060346995223,0.0892632637666583
TRUE,2015-07-21,346824.542,13630,25.4456743947175,0.826412325752018,0.082538517975055,0.0878943506969919
TRUE,2015-07-22,358659.8076,14090,25.4549189212207,0.813271823988644,0.0919801277501774,0.0919801277501774
TRUE,2015-07-23,376317.7924,14275,26.3620169807356,0.820315236427321,0.0874956217162872,0.0896672504378284
TRUE,2015-07-24,479802.8111,18030,26.6113594620078,0.808596783139212,0.0983915696062119,0.0905158069883528
TRUE,2015-07-25,507747.43953,18597,27.3026530908211,NA,NA,NA
TRUE,2015-07-26,379356.673381,15253,24.8709547879761,0.808562250049171,0.0991280403854979,0.0861469874778732
TRUE,2015-07-27,301505.735367,11874,25.3920949441637,0.825585312447364,0.0914603335017686,0.0805120431194206
TRUE,2015-07-28,376316.953001,14010,26.8605962170592,0.829835831548894,0.0821556031406138,0.0851534618129907
TRUE,2015-07-29,378131.73131,14332,26.3837378809657,0.829891152665364,0.0832403014233882,0.0842869104102707
