"towntype_Pullman","saledate","revenue","tot_items","avg_price_peritem","perc.usable","perc.edible","perc.extracts"
"noncollege-nonurban",2015-11-27,537380.29293,19984,26.8905270681545,0.736839471577262,0.112690152121697,0.129953963170536
"noncollege-nonurban",2015-11-28,540204.43833,21048,25.6653571992588,0.74515393386545,0.112599771949829,0.119678829342455
"noncollege-nonurban",2015-11-29,359889.59358,14727,24.4374002566714,0.76655123243023,0.0899708019284308,0.116995993752971
"noncollege-nonurban",2015-11-30,328164.6077,12400,26.4648877177419,0.785403225806452,0.0780645161290323,0.113387096774194
"noncollege-nonurban",2015-12-01,760813.84775,17521,43.4229694509446,0.791621482792078,0.0716854060841276,0.115061925689173
"noncollege-nonurban",2015-12-02,465156.20412,15449,30.1091464897404,0.789565667680756,0.0690659589617451,0.121108162340605
"noncollege-nonurban",2015-12-03,451092.86916,16807,26.8395828619028,0.785089546022491,0.0731837924674243,0.116737073838282
"noncollege-nonurban",2015-12-04,529078.31487,19488,27.1489283081897,0.776477832512315,0.0882594417077176,0.116995073891626
"noncollege-nonurban",2015-12-05,575074.84694,21298,27.0013544436097,0.767912480045075,0.088412057470185,0.123157103953423
"noncollege-nonurban",2015-12-06,396215.82173,15530,25.512931212492,0.779523502897618,0.0836445589182228,0.109594333547972
"noncollege-nonurban",2015-12-07,353337.198406,13475,26.22168448282,0.787235621521336,0.0739888682745826,0.116289424860853
"noncollege-nonurban",2015-12-08,406046.78418,15443,26.2932580573723,0.792009324613093,0.0710354205789031,0.112607653953247
"noncollege-nonurban",2015-12-09,394094.905961,15311,25.7393315891189,0.789367121677226,0.0692965841551825,0.113055972829992
"noncollege-nonurban",2015-12-10,425890.610008,16235,26.232867878534,0.782630120110872,0.077856482907299,0.116723129042193
"noncollege-nonurban",2015-12-11,525024.39582,18681,28.1047265039345,0.777206787645201,0.0807237299930411,0.120229109790696
"noncollege-nonurban",2015-12-12,580328.13249,21014,27.6162621342914,0.766584181973922,0.0953174074426573,0.115399257637765
"noncollege-nonurban",2015-12-13,394861.798807,15166,26.0359883164315,0.776473691151259,0.0880917842542529,0.1108400369247
"noncollege-nonurban",2015-12-14,349584.167935,12915,27.0680733979868,0.789547038327526,0.0778939217963608,0.111265969802555
"noncollege-nonurban",2015-12-15,420072.72499,16400,25.6141905481707,0.776158536585366,0.084390243902439,0.117926829268293
"noncollege-nonurban",2015-12-16,426437.8861,16202,26.320076910258,0.778792741636835,0.0840019750648068,0.117146031354154
"noncollege-nonurban",2015-12-17,430690.5579,16397,26.2664242178447,0.772458376532293,0.0866012075379643,0.113435384521559
"noncollege-nonurban",2015-12-18,535484.5979,19733,27.1365021993615,0.765722393959357,0.0961333806314296,0.117316170881265
"noncollege-nonurban",2015-12-19,606566.6369,23005,26.3667305759617,0.753705716148663,0.102021299717453,0.121060638991524
"noncollege-nonurban",2015-12-20,442342.586,17362,25.4776284990209,0.756018891832738,0.094574357792881,0.121414583573321
"noncollege-nonurban",2015-12-21,408963.7553,15098,27.0872801231951,0.750761690290105,0.100013246787654,0.124718505762353
"noncollege-nonurban",2015-12-22,508333.6913,18926,26.8590135950544,0.758110535770897,0.0983831765824791,0.122159991546021
"noncollege-nonurban",2015-12-23,622891.7898,22570,27.598218422685,0.745059813912273,0.111918475852902,0.120115197164377
"noncollege-nonurban",2015-12-24,801049.3572,29253,27.3834942467439,0.733155573787304,0.118210098109596,0.122825009400745
"noncollege-nonurban",2015-12-25,126322.6036,5566,22.6954012935681,0.738771110312612,0.105102407473949,0.12396694214876
"noncollege-nonurban",2015-12-26,424362.432,15419,27.522046306505,0.759517478435696,0.0917698942862702,0.12640249043388
"noncollege-nonurban",2015-12-27,454584.6731,17505,25.9688473636104,0.760354184518709,0.0947729220222794,0.124307340759783
"noncollege-nonurban",2015-12-28,386263.9924,14303,27.0058024470391,0.76291687058659,0.0921485003146193,0.125358316437111
"noncollege-nonurban",2015-12-29,471537.1764,17305,27.24860886449,0.777232013868824,0.0911875180583646,0.114013290956371
"noncollege-nonurban",2015-12-30,577978.2715,18269,31.6371050139581,0.76917182111774,0.0878537413104166,0.124363676172752
"noncollege-nonurban",2015-12-31,795122.8879,27746,28.6572078101348,0.756757730844086,0.0981042312405392,0.126720968788294
"noncollege-nonurban",2016-01-01,613814.3205,18492,33.1935064081765,0.7701708847069,0.0928509625784123,0.11751027471339
"noncollege-nonurban",2016-01-02,475380.3278,17524,27.1273868865556,0.768032412691166,0.0881648025564939,0.123487788176215
"noncollege-nonurban",2016-01-03,426349.617,16865,25.2801433145568,0.778416839608657,0.0794544915505485,0.123332345093389
"noncollege-nonurban",2016-01-04,364473.2656,13413,27.1731354357713,0.782673525684038,0.0725415641541788,0.120331022142697
"noncollege-nonurban",2016-01-05,466975.1312,17341,26.9289620667782,0.794821521250216,0.0708148319012744,0.117582607692751
"noncollege-nonurban",2016-01-06,442145.8266,16717,26.4488739965305,0.784470897888377,0.0713046599270204,0.124723335526709
"noncollege-nonurban",2016-01-07,438081.2421,16612,26.3713726282206,0.777871418251866,0.0781362870214303,0.127076811943174
"noncollege-nonurban",2016-01-08,539967.4845,19705,27.4025620147171,0.776858665313372,0.0829231159604161,0.122557726465364
"noncollege-nonurban",2016-01-09,603290.1586,22457,26.8642364786036,0.768758070980095,0.0902613884312241,0.123480429264817
"noncollege-nonurban",2016-01-10,406905.5906,16311,24.9466979706946,0.779719207896512,0.0839923977683772,0.117405431917111
"noncollege-nonurban",2016-01-11,342785.4395,13337,25.701839956512,0.797255754667466,0.0727299992502062,0.112619029766814
"noncollege-nonurban",2016-01-12,406507.0713,15899,25.5680905277062,0.794766966475879,0.0701301968677275,0.118938298006164
"noncollege-nonurban",2016-01-13,411807.5328,15988,25.7572887665749,0.788091068301226,0.0753064798598949,0.121591193395046
"noncollege-nonurban",2016-01-14,421484.7196,16321,25.824687188285,0.7873904785246,0.0749954046933399,0.120764659028246
