"towntype","saledate","tot_items","perc_cartridge_oil","perc_hash_kief","perc_wax_shatter_resin","perc_uncategorized"
"Airway Heights",2015-05-15,15,0,0.0666666666666667,0,0.933333333333333
"Airway Heights",2015-05-16,24,0,0.0833333333333333,0,0.916666666666667
"Airway Heights",2015-05-17,14,0,0.0714285714285714,0,0.928571428571429
"Airway Heights",2015-05-18,9,0,0.111111111111111,0,0.888888888888889
"Airway Heights",2015-05-19,4,0,0,0,1
"Airway Heights",2015-05-20,5,0,0.2,0,0.8
"Airway Heights",2015-05-21,1,0,0,0,1
"Airway Heights",2015-05-22,9,0.444444444444444,0.333333333333333,0,0.222222222222222
"Airway Heights",2015-05-23,17,0.235294117647059,0.117647058823529,0,0.647058823529412
"Airway Heights",2015-05-24,10,0.2,0.1,0.4,0.3
"Airway Heights",2015-05-25,11,0.181818181818182,0,0.363636363636364,0.454545454545455
"Airway Heights",2015-05-26,5,0.6,0,0.2,0.2
"Airway Heights",2015-05-27,11,0.363636363636364,0,0.454545454545455,0.181818181818182
"Airway Heights",2015-05-28,16,0.3125,0,0.4375,0.25
"Airway Heights",2015-05-29,7,0.142857142857143,0.142857142857143,0.571428571428571,0.142857142857143
"Airway Heights",2015-05-30,21,0.0952380952380952,0.0952380952380952,0.476190476190476,0.333333333333333
"Airway Heights",2015-05-31,17,0.0588235294117647,0.235294117647059,0.294117647058824,0.411764705882353
"Airway Heights",2015-06-01,6,0,0.166666666666667,0,0.833333333333333
"Airway Heights",2015-06-02,7,0,0.142857142857143,0,0.857142857142857
"Airway Heights",2015-06-03,20,0.05,0.25,0,0.7
"Airway Heights",2015-06-04,17,0.176470588235294,0.0588235294117647,0,0.764705882352941
"Airway Heights",2015-06-05,12,0.25,0.166666666666667,0.25,0.333333333333333
"Airway Heights",2015-06-06,20,0.15,0,0.55,0.3
"Airway Heights",2015-06-07,12,0.25,0,0.666666666666667,0.0833333333333333
"Airway Heights",2015-06-08,4,0.75,0,0,0.25
"Airway Heights",2015-06-09,9,0.111111111111111,0.111111111111111,0.777777777777778,0
"Airway Heights",2015-06-10,10,0.1,0,0.4,0.5
"Airway Heights",2015-06-11,8,0.125,0,0.125,0.75
"Airway Heights",2015-06-12,11,0.363636363636364,0,0.363636363636364,0.272727272727273
"Airway Heights",2015-06-13,25,0.32,0,0.4,0.28
"Airway Heights",2015-06-14,14,0.428571428571429,0.0714285714285714,0.214285714285714,0.285714285714286
"Airway Heights",2015-06-15,2,0,0,0,1
"Airway Heights",2015-06-16,10,0.5,0,0.2,0.3
"Airway Heights",2015-06-17,15,0.133333333333333,0,0.466666666666667,0.4
"Airway Heights",2015-06-18,9,0.111111111111111,0,0.333333333333333,0.555555555555556
"Airway Heights",2015-06-19,11,0.181818181818182,0.0909090909090909,0.272727272727273,0.454545454545455
"Airway Heights",2015-06-20,20,0.25,0.05,0.15,0.55
"Airway Heights",2015-06-21,17,0.235294117647059,0.0588235294117647,0.0588235294117647,0.647058823529412
"Airway Heights",2015-06-22,17,0.235294117647059,0.0588235294117647,0.176470588235294,0.529411764705882
"Airway Heights",2015-06-23,7,0.142857142857143,0,0.285714285714286,0.571428571428571
