"towntype","saledate","tot_items","perc_cartridge","perc_oil","perc_hash_kief","perc_wax_shatter_resin","perc_uncategorized"
"Airway Heights",2015-07-17,11,0,0.0909090909090909,0.0909090909090909,0.545454545454545,0.272727272727273
"Airway Heights",2015-07-18,21,0,0.238095238095238,0.0952380952380952,0.19047619047619,0.476190476190476
"Airway Heights",2015-07-19,16,0,0.1875,0,0.4375,0.375
"Airway Heights",2015-07-20,8,0.5,0.125,0,0.125,0.25
"Airway Heights",2015-07-21,16,0,0,0,0.4375,0.5625
"Airway Heights",2015-07-22,11,0.181818181818182,0,0.0909090909090909,0.363636363636364,0.363636363636364
"Airway Heights",2015-07-23,17,0.176470588235294,0,0.0588235294117647,0.705882352941177,0.0588235294117647
"Airway Heights",2015-07-24,18,0.111111111111111,0,0.0555555555555556,0.777777777777778,0.0555555555555556
"Airway Heights",2015-07-25,25,0.12,0,0.04,0.4,0.44
"Airway Heights",2015-07-26,16,0.0625,0,0.0625,0.625,0.25
"Airway Heights",2015-07-27,10,0.1,0,0,0.8,0.1
"Airway Heights",2015-07-28,10,0.2,0,0,0.8,0
"Airway Heights",2015-07-29,10,0.4,0,0,0.3,0.3
"Airway Heights",2015-07-30,14,0.357142857142857,0,0,0.428571428571429,0.214285714285714
"Airway Heights",2015-07-31,22,0.227272727272727,0,0,0.409090909090909,0.363636363636364
"Airway Heights",2015-08-01,29,0.103448275862069,0,0.0344827586206897,0.724137931034483,0.137931034482759
"Airway Heights",2015-08-02,26,0.230769230769231,0,0.0384615384615385,0.461538461538462,0.269230769230769
"Airway Heights",2015-08-03,17,0.176470588235294,0,0.117647058823529,0.470588235294118,0.235294117647059
"Airway Heights",2015-08-04,18,0.0555555555555556,0,0.0555555555555556,0.555555555555556,0.333333333333333
"Airway Heights",2015-08-05,23,0.304347826086957,0,0,0.347826086956522,0.347826086956522
"Airway Heights",2015-08-06,19,0.315789473684211,0,0.0526315789473684,0.263157894736842,0.368421052631579
"Airway Heights",2015-08-07,27,0.444444444444444,0,0.0740740740740741,0.185185185185185,0.296296296296296
"Airway Heights",2015-08-08,38,0.473684210526316,0,0,0,0.526315789473684
"Airway Heights",2015-08-09,32,0.4375,0,0.03125,0.0625,0.46875
"Airway Heights",2015-08-10,11,0.272727272727273,0,0,0,0.727272727272727
"Airway Heights",2015-08-11,17,0.117647058823529,0,0,0.176470588235294,0.705882352941177
"Airway Heights",2015-08-12,26,0.192307692307692,0,0,0.0769230769230769,0.730769230769231
"Airway Heights",2015-08-13,19,0.263157894736842,0,0,0.105263157894737,0.631578947368421
"Airway Heights",2015-08-14,21,0.238095238095238,0,0.0476190476190476,0.19047619047619,0.523809523809524
"Airway Heights",2015-08-15,34,0.323529411764706,0,0.0588235294117647,0.205882352941176,0.411764705882353
"Airway Heights",2015-08-16,24,0.208333333333333,0,0,0.375,0.416666666666667
"Airway Heights",2015-08-17,13,0.153846153846154,0,0,0.384615384615385,0.461538461538462
"Airway Heights",2015-08-18,22,0.318181818181818,0,0.0454545454545455,0.272727272727273,0.363636363636364
"Airway Heights",2015-08-19,18,0.277777777777778,0,0,0.444444444444444,0.277777777777778
"Airway Heights",2015-08-20,13,0,0,0,0.538461538461538,0.461538461538462
"Airway Heights",2015-08-21,29,0.0689655172413793,0,0,0.413793103448276,0.517241379310345
"Airway Heights",2015-08-22,28,0.0357142857142857,0,0,0.535714285714286,0.428571428571429
"Airway Heights",2015-08-23,23,0.0434782608695652,0,0,0.304347826086957,0.652173913043478
