"towntype_Pullman","saledate","revenue","tot_items","avg_price_peritem","perc.cart","perc.oil","perc.hash_kief","perc.wax_shatter_resin","perc.uncategorized"
"Airway Heights",2015-05-15,463.73,15,30.9153333333333,0,0,0.0666666666666667,0,0.933333333333333
"Airway Heights",2015-05-16,628.1,24,26.1708333333333,0,0,0.0833333333333333,0,0.916666666666667
"Airway Heights",2015-05-17,460.97,14,32.9264285714286,0,0,0.0714285714285714,0,0.928571428571429
"Airway Heights",2015-05-18,289.23,9,32.1366666666667,0,0,0.111111111111111,0,0.888888888888889
"Airway Heights",2015-05-19,114.78,4,28.695,0,0,0,0,1
"Airway Heights",2015-05-20,137.75,5,27.55,0,0,0.2,0,0.8
"Airway Heights",2015-05-21,27.55,1,27.55,0,0,0,0,1
"Airway Heights",2015-05-22,295.67,9,32.8522222222222,0.444444444444444,0,0.333333333333333,0,0.222222222222222
"Airway Heights",2015-05-23,471.6,17,27.7411764705882,0.235294117647059,0,0.117647058823529,0,0.647058823529412
"Airway Heights",2015-05-24,334.41,10,33.441,0.2,0,0.1,0.5,0.2
"Airway Heights",2015-05-25,417.81,11,37.9827272727273,0.181818181818182,0,0,0.818181818181818,0
"Airway Heights",2015-05-26,203.85,5,40.77,0.6,0,0,0.2,0.2
"Airway Heights",2015-05-27,433.42,11,39.4018181818182,0.363636363636364,0,0,0.545454545454545,0.0909090909090909
"Airway Heights",2015-05-28,631.31,16,39.456875,0.3125,0,0,0.5,0.1875
"Airway Heights",2015-05-29,276.4,7,39.4857142857143,0.142857142857143,0,0.142857142857143,0.571428571428571,0.142857142857143
"Airway Heights",2015-05-30,665.39,21,31.6852380952381,0.0952380952380952,0,0.0952380952380952,0.571428571428571,0.238095238095238
"Airway Heights",2015-05-31,467.69,17,27.5111764705882,0.0588235294117647,0,0.235294117647059,0.529411764705882,0.176470588235294
"Airway Heights",2015-06-01,270.9,6,45.15,0,0,0.166666666666667,0.333333333333333,0.5
"Airway Heights",2015-06-02,261.72,7,37.3885714285714,0,0,0.142857142857143,0.142857142857143,0.714285714285714
"Airway Heights",2015-06-03,674.94,20,33.747,0.05,0,0.25,0.3,0.4
"Airway Heights",2015-06-04,665.75,17,39.1617647058824,0.117647058823529,0.0588235294117647,0.0588235294117647,0.294117647058824,0.470588235294118
"Airway Heights",2015-06-05,507.35,12,42.2791666666667,0.166666666666667,0.0833333333333333,0.166666666666667,0.416666666666667,0.166666666666667
"Airway Heights",2015-06-06,672.17,20,33.6085,0.05,0.1,0,0.65,0.2
"Airway Heights",2015-06-07,416.07,12,34.6725,0,0.25,0,0.75,0
"Airway Heights",2015-06-08,146.92,4,36.73,0.25,0.5,0,0,0.25
"Airway Heights",2015-06-09,365,9,40.5555555555556,0,0.111111111111111,0.111111111111111,0.777777777777778,0
"Airway Heights",2015-06-10,362.72,10,36.272,0,0.1,0,0.8,0.1
"Airway Heights",2015-06-11,280.06,8,35.0075,0.125,0,0,0.625,0.25
"Airway Heights",2015-06-12,408.62,11,37.1472727272727,0.0909090909090909,0.272727272727273,0,0.545454545454545,0.0909090909090909
"Airway Heights",2015-06-13,834.67,25,33.3868,0.16,0.16,0,0.52,0.16
"Airway Heights",2015-06-14,472.91,14,33.7792857142857,0.0714285714285714,0.357142857142857,0.0714285714285714,0.285714285714286,0.214285714285714
"Airway Heights",2015-06-15,64.28,2,32.14,0,0,0,0.5,0.5
"Airway Heights",2015-06-16,385.65,10,38.565,0.1,0.4,0,0.3,0.2
"Airway Heights",2015-06-17,564.72,15,37.648,0.133333333333333,0,0,0.6,0.266666666666667
"Airway Heights",2015-06-18,362.71,9,40.3011111111111,0,0.111111111111111,0,0.555555555555556,0.333333333333333
"Airway Heights",2015-06-19,408.62,11,37.1472727272727,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.363636363636364,0.363636363636364
"Airway Heights",2015-06-20,568.65,20,28.4325,0.1,0.15,0.05,0.6,0.1
"Airway Heights",2015-06-21,542.67,17,31.9217647058823,0.117647058823529,0.117647058823529,0.0588235294117647,0.411764705882353,0.294117647058824
"Airway Heights",2015-06-22,656.58,17,38.6223529411765,0.0588235294117647,0.176470588235294,0.0588235294117647,0.470588235294118,0.235294117647059
"Airway Heights",2015-06-23,261.7,7,37.3857142857143,0.142857142857143,0,0,0.857142857142857,0
"Airway Heights",2015-06-24,252.51,6,42.085,0,0,0,0.666666666666667,0.333333333333333
"Airway Heights",2015-06-25,663.46,18,36.8588888888889,0,0.0555555555555556,0.111111111111111,0.555555555555556,0.277777777777778
"Airway Heights",2015-06-26,624.41,16,39.025625,0,0.0625,0,0.75,0.1875
"Airway Heights",2015-06-27,865.9,25,34.636,0.04,0.12,0.12,0.6,0.12
"Airway Heights",2015-06-28,539.95,17,31.7617647058823,0.0588235294117647,0.0588235294117647,0,0.647058823529412,0.235294117647059
"Airway Heights",2015-06-29,311.39,8,38.92375,0.125,0,0.125,0.5,0.25
"Airway Heights",2015-06-30,126.26,4,31.565,0,0.25,0,0.5,0.25
"Airway Heights",2015-07-01,1047.4335,20,52.371675,0.05,0.25,0,0.4,0.3
"Airway Heights",2015-07-02,781.6946,21,37.2235523809524,0,0.238095238095238,0,0.476190476190476,0.285714285714286
"Airway Heights",2015-07-03,1236.7264,26,47.5664,0.0384615384615385,0.230769230769231,0,0.653846153846154,0.0769230769230769
"Airway Heights",2015-07-04,789.5447,26,30.3671038461538,0.0384615384615385,0.230769230769231,0,0.269230769230769,0.461538461538462
"Airway Heights",2015-07-05,573.7286,14,40.9806142857143,0,0.142857142857143,0,0.642857142857143,0.214285714285714
"Airway Heights",2015-07-06,375.5992,10,37.55992,0,0,0,0.8,0.2
"Airway Heights",2015-07-07,840.8649,23,36.5593434782609,0,0.173913043478261,0,0.521739130434783,0.304347826086957
"Airway Heights",2015-07-08,544.6846,13,41.8988153846154,0,0.230769230769231,0,0.692307692307692,0.0769230769230769
"Airway Heights",2015-07-09,300.4958,9,33.3884222222222,0.111111111111111,0.222222222222222,0,0.666666666666667,0
"Airway Heights",2015-07-10,718.7705,26,27.6450192307692,0.115384615384615,0.0384615384615385,0,0.153846153846154,0.692307692307692
"Airway Heights",2015-07-11,980.372,34,28.8344705882353,0.0294117647058824,0.0588235294117647,0,0.205882352941176,0.705882352941177
"Airway Heights",2015-07-12,529.6146,17,31.1538,0.0588235294117647,0,0,0.117647058823529,0.823529411764706
"Airway Heights",2015-07-13,248.8468,7,35.5495428571429,0,0,0,0.285714285714286,0.714285714285714
"Airway Heights",2015-07-14,711.2903,23,30.9256652173913,0.0434782608695652,0.173913043478261,0,0.173913043478261,0.608695652173913
"Airway Heights",2015-07-15,647.9415,20,32.397075,0.1,0.15,0,0.15,0.6
"Airway Heights",2015-07-16,723.4285,19,38.0751842105263,0.0526315789473684,0.157894736842105,0,0.421052631578947,0.368421052631579
